SES.Quintile,Sex,Month,Age,Deaths.2015,Deaths.2016,Deaths.2017,Deaths.2018,Deaths.2019
2,1,5,4-Jan,45.00204918,51.0106267,41.00181031,51.00400944,41
3,1,5,4-Jan,48.00635968,50.00650834,43,45.00542337,43
4,1,5,4-Jan,28.00135714,28.00248679,34.00501471,42,28.00710673
5,1,5,4-Jan,29.00181063,31.00426803,27.0038446,30.00455186,17.00319847
All,1,5,4-Jan,218.0114899,216.0263803,199.0101288,234.017744,187.0167451
1,2,5,4-Jan,42,42,47.00124749,53,37
2,2,5,4-Jan,29,30,37,30,39
3,2,5,4-Jan,33,27.00095852,40,22,28
4,2,5,4-Jan,24,27.00116107,27.00133594,19,28.00138683
5,2,5,4-Jan,23,13.00083893,14.00166303,23.00106078,31
All,2,5,4-Jan,151,139.003795,165.0059046,147.0013355,163.0014293
1,1,6,4-Jan,49.00200312,55,66.00426297,52.00236916,58.00388997
2,1,6,4-Jan,65.00738851,44,51.00648145,27.00067272,47.00939865
3,1,6,4-Jan,31.00277859,45.00155578,51,46,37.00231328
4,1,6,4-Jan,44.00884564,25,29.00313022,35.00183955,23
5,1,6,4-Jan,24.00927397,20.00232558,25.00147601,28.00799829,26.00167067
All,1,6,4-Jan,213.0315804,189.0069109,222.0176293,188.013171,191.0163113
1,2,6,4-Jan,44,43,32.00231834,48,48.00169863
2,2,6,4-Jan,22,34.00164219,40.00175009,31.00146145,24.00115803
3,2,6,4-Jan,31.00147377,31,27,30,32
4,2,6,4-Jan,27,28.00144124,13.00141535,22,19.00135784
5,2,6,4-Jan,20.00145936,28.0020752,17.0025587,17.00121951,21
All,2,6,4-Jan,144.0027896,164.0047467,129.0097748,148.002795,144.0039885
1,1,7,4-Jan,56.00508795,66.00309618,61.00195476,68.00559401,59.00196864
2,1,7,4-Jan,49.00831504,57.00202105,58.00235218,56.00447711,37.00441996
3,1,7,4-Jan,37,58.00236207,46,38,45.00363599
4,1,7,4-Jan,35,28,33.00230318,37.0073493,30.00588766
5,1,7,4-Jan,15.00297717,23.00128219,23.00161152,19.0027654,27.0013809
All,1,7,4-Jan,192.0173461,232.0102622,221.0076983,218.0204655,198.0182086
1,2,7,4-Jan,41.0018523,34.00314391,33,38.00151878,36
2,2,7,4-Jan,25,35.00167209,32,28.00098179,31.00156535
3,2,7,4-Jan,29,35,35,29,26
4,2,7,4-Jan,26,22.00238487,27,34,13.00052543
5,2,7,4-Jan,19.00218688,24,16.00109433,18.00153526,14.00253834
All,2,7,4-Jan,140.0039529,150.0070327,143.001336,147.0040862,120.0054754
1,1,8,4-Jan,62.00235104,57.00393697,50.00723319,62,44.00270288
2,1,8,4-Jan,42,43.00125125,43.00548948,44.00510165,41.00321426
3,1,8,4-Jan,53.00742844,38,34.00142857,36.00139872,32
4,1,8,4-Jan,25.00383551,32.0039979,36.0023648,37,23.00327091
5,1,8,4-Jan,28,26.00147524,30,18.00456432,23.00589315
All,1,8,4-Jan,210.0133607,196.0103637,193.0151032,197.0135291,163.0165259
1,2,8,4-Jan,42.00136524,39,29.00097728,48,45.0015765
2,2,8,4-Jan,28.00112465,30,41,34.00190424,31.00490028
3,2,8,4-Jan,25.0006432,20.00111524,27,20,35.0016206
4,2,8,4-Jan,28.00268697,22.00118,20,18,25.00160325
5,2,8,4-Jan,23.00268908,25.00152788,19.00086928,16.00181721,18.00214846
All,2,8,4-Jan,146.0097925,136.0038335,136.0025452,136.0037864,154.0113131
